Time,ccAnacapaREL,ccBajaCalif,ccChannelABSOLUTE,ccSanMiguelREL,ccSantaCruzREL,ccSantaRosaREL,con,disaster,ElNinoEventThisYear,ElNinoModelMemoryEventLastYear,ElNinoProbability,FINAL TIME,"flow2-1","flow2-3","flow2-4","flow2-5","flow3-1","flow3-2","flow3-4","flow3-5","flow4-1","flow4-2","flow4-3","flow4-5","flow5-1","flow5-2","flow5-3","flow5-4",flowAlaska,flowChannelBypass,flowChannelIslands,flowHawaii,INITIAL TIME,LaNinaEventThisYear,LaNinaModelMemoryEventLastYear,LaNinaProbability,LogicalAndElNinoThisYearAndLastYear,LogicalAndLaNinaThisYearAndLastYear,"migrationBypass%",mixer2,mixer3,mixer4,mixer5,pop2Anacapa,pop3SantaCruz,pop4SantaRosa,pop5SanMiguel,popAlaska,popBajaCalif,SAVEPER,TIME STEP
28,125,6250,625,125,187.5,187.5,1.25,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,164.911,4.36599,1.26759,4.22997,5144.27,4890.74,109.257,0,,1,0,,0,1,0.978149,,,,,109.686,159.376,150.856,289.911,5000,5144.27,1,
29,125,6250,625,125,187.5,187.5,1.25,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,99.3938,1.44448,0.85379,5.00625,5055.65,4813.55,186.447,0,,0,1,,0,1,0.96271,,,,,114.052,160.643,155.086,224.394,5000,5055.65,1,
30,100,5000,500,100,150,150,1,0,0,0,,,15.4963,0.671416,0.937232,0.0713164,11.4973,0.401902,1.54941,0.831265,10.0923,0.979716,1.34204,0.271833,204.143,3.28951,4.26895,6.51685,4912.95,4515.03,484.971,0,,0,0,,0,0,0.903006,,,,,115.496,161.497,160.092,304.143,5000,4912.95,1,
31,100,5000,500,100,150,150,1,0,0,0,,,2.99117,0.552302,0.647042,0.926439,3.49982,1.44864,0.484045,0.642337,6.4099,0.22459,0.913007,1.1838,472.07,15.0923,13.8508,9.68405,4756.26,4650.71,349.288,0,,0,0,,0,0,0.930142,,,,,102.991,153.5,156.41,572.07,5000,4756.26,1,
32,100,5000,500,100,150,150,1,0,0,0,,,14.6397,0.556141,0.115916,0.981054,12.741,0.302932,1.24927,0.827284,8.49374,1.06494,0.501141,1.49789,313.413,11.1413,0.131121,11.2485,5135.68,4743.97,256.033,135.684,,0,0,,0,0,0.948793,,,,,114.64,162.741,158.494,413.413,5000,5135.68,1,
33,100,5000,500,100,150,150,1,0,0,0,,,10.8561,0.749234,0.246554,0.510685,0,0,0,0,9.54974,0.463936,1.35865,1.14768,236.818,7.96268,5.67991,6.07207,4957.57,4557.96,442.044,0,,0,0,,0,0,0.911591,,,,,110.856,148.809,159.55,336.818,5000,4957.57,1,
34,100,5000,500,100,150,150,1,0,0,0,,,6.92014,0.354115,0.222421,0.139703,6.59673,0.825538,0.653673,1.30059,3.34836,0.38733,1.07356,1.44558,423.988,13.5278,10.6727,5.253,4815.18,4665.2,334.802,0,,0,0,,0,0,0.93304,,,,,106.92,156.597,153.348,523.988,5000,4815.18,1,
35,100,5000,500,100,150,150,1,0,0,0,,,14.0244,0.602624,0.911966,1.03374,9.32059,0.326538,0.606132,0.145362,3.22263,1.17086,0.84696,0.764481,308.235,10.6526,9.92228,5.72896,5106.05,4619.77,380.228,106.051,,0,0,,0,0,0.923954,,,,,114.024,159.321,153.223,408.235,5000,5106.05,1,
36,100,5000,500,100,150,150,1,0,0,0,,,9.60164,0.215893,0.723314,0.423541,10.2938,0.752679,0.97028,0.570435,4.46475,0.444429,1.16337,0.746004,355.868,2.22184,2.45507,0.293979,4848.52,4711.65,288.349,0,,0,0,,0,0,0.94233,,,,,109.602,160.294,154.465,455.868,5000,4848.52,1,
37,100,5000,500,100,150,150,1,0,0,0,,,2.05621,0.781335,0.509799,0.872416,1.54094,1.02682,0.986992,0.821231,0,0,0,0,285.118,11.2245,1.87024,1.75651,5091.88,4628.12,371.876,91.8799,,0,0,,0,0,0.925625,,,,,102.056,151.541,149.634,385.118,5000,5091.88,1,
