Time,ccAnacapaREL,ccBajaCalif,ccChannelABSOLUTE,ccSanMiguelREL,ccSantaCruzREL,ccSantaRosaREL,con,disaster,ElNinoEventThisYear,ElNinoModelMemoryEventLastYear,ElNinoProbability,FINAL TIME,"flow2-1","flow2-3","flow2-4","flow2-5","flow3-1","flow3-2","flow3-4","flow3-5","flow4-1","flow4-2","flow4-3","flow4-5","flow5-1","flow5-2","flow5-3","flow5-4",flowAlaska,flowChannelBypass,flowChannelIslands,flowHawaii,INITIAL TIME,LaNinaEventThisYear,LaNinaModelMemoryEventLastYear,LaNinaProbability,LogicalAndElNinoThisYearAndLastYear,LogicalAndLaNinaThisYearAndLastYear,"migrationBypass%",mixer2,mixer3,mixer4,mixer5,pop2Anacapa,pop3SantaCruz,pop4SantaRosa,pop5SanMiguel,popAlaska,popBajaCalif,SAVEPER,TIME STEP
27,100,5000,500,100,150,150,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,59.0964,4.72466,0.419215,2.34807,5273.09,4562.25,437.745,273.086,,0,0,,0,0,0.912451,,,,,62.6993,87.8334,84.9648,159.096,5000,5273.09,1,
28,150,7500,750,150,225,225,1.5,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,380.253,0.445921,10.3809,8.75487,4348.26,4670.31,329.685,0,,0,0,,1,0,0.934063,,,,,67.4239,88.2526,87.3129,530.253,5000,4348.26,1,
29,150,7500,750,150,225,225,1.5,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,310.104,2.18542,9.20235,12.1576,5050.57,4514.36,485.639,0,,0,0,,1,0,0.902872,,,,,67.8698,98.6335,96.0677,460.104,5000,5050.57,1,
30,125,6250,625,125,187.5,187.5,1.25,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,487.094,4.2033,1.10582,15.593,4824.46,4881.98,118.022,0,,1,0,,0,1,0.976396,,,,,70.0553,107.836,108.225,612.094,5000,4824.46,1,
31,125,6250,625,125,187.5,187.5,1.25,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,97.1198,0.415931,3.38086,3.38044,5369.07,4548.21,451.794,0,,0,1,,0,1,0.909641,,,,,74.2586,108.942,123.818,222.12,5000,5369.07,1,
32,150,7500,750,150,225,225,1.5,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,419.617,8.97987,4.68122,10.9552,4645.33,4705.31,294.692,0,,0,0,,1,0,0.941062,,,,,74.6745,112.323,127.199,569.617,5000,4645.33,1,
33,150,7500,750,150,225,225,1.5,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,270.075,10.4431,11.941,10.6072,5124.93,4752.63,247.374,0,,0,0,,1,0,0.950525,,,,,83.6544,117.004,138.154,420.075,5000,5124.93,1,
34,100,5000,500,100,150,150,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,264.383,7.41161,6.17505,8.03325,5022.7,4797.89,202.111,22.7012,,0,0,,0,0,0.959578,,,,,94.0975,128.945,148.761,364.383,5000,5022.7,1,
35,100,5000,500,100,150,150,1,0,0,0,,,1.50909,0.809798,0.0668869,0.759415,0,0,0,0,6.79448,1.46169,0.338105,1.07712,180.491,6.35543,2.98548,7.37677,5039.57,4845.62,154.383,39.5703,,0,0,,0,0,0.969123,,,,,101.509,135.12,156.794,280.491,5000,5039.57,1,
36,150,7500,750,150,225,225,1.5,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,89.5023,3.85536,5.40722,1.42653,4994.84,4897.36,102.643,0,,0,0,,1,0,0.979471,,,,,106.181,139.253,154.567,239.502,5000,4994.84,1,
37,150,7500,750,150,225,225,1.5,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,91.9537,5.41826,1.72277,2.45299,4986.86,4523.25,476.753,0,,0,0,,1,0,0.904649,,,,,110.036,144.66,155.993,241.954,5000,4986.86,1,
38,125,6250,625,125,187.5,187.5,1.25,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,492.159,14.6245,8.16082,16.2056,4615.2,4846.39,153.612,0,,1,0,,0,1,0.969278,,,,,115.455,146.383,158.446,617.159,5000,4615.2,1,
39,125,6250,625,125,187.5,187.5,1.25,0,0,0,,,5.07915,0.759236,1.24906,0.391567,0,0,0,0,0,0,0,0,114.621,6.47177,2.75097,0.214105,5338.55,4863.59,136.407,0,,0,1,,0,1,0.972719,,,,,130.079,154.544,174.652,239.621,5000,5338.55,1,
40,100,5000,500,100,150,150,1,0,0,0,,,29.0719,0.212817,0.796076,0.626527,8.05415,1.00338,0.942175,0.622713,26.115,1.49275,1.28656,0.478493,152.362,2.15628,4.04132,3.48151,4983.29,4528.46,471.536,0,,0,0,,0,0,0.905693,,,,,129.072,158.054,176.115,252.362,5000,4983.29,1,
41,100,5000,500,100,150,150,1,0,0,0,,,3.01699,0.0581644,0.77696,0.381575,2.97243,1.28094,0.921302,0.630737,1.96198,0.700524,0.859517,0.564445,463.585,13.3918,10.8768,13.9803,4744.07,4930.55,69.454,0,,0,0,,0,0,0.986109,,,,,103.017,152.972,151.962,563.585,5000,4744.07,1,
42,100,5000,500,100,150,150,1,0,0,0,,,14.1565,0.741626,0.617194,1.03762,8.96155,1.28626,1.47135,1.09275,13.5541,1.08897,0.249648,1.24365,32.7818,2.35778,1.18247,1.25867,5402.08,4550.61,449.391,402.082,,0,0,,0,0,0.910122,,,,,114.157,158.962,163.554,132.782,5000,5402.08,1,
43,100,5000,500,100,150,150,1,0,0,0,,,2.33657,0.807099,0.45239,0.190455,0,0,0,0,0.764954,1.39286,1.35557,0.164744,447.966,3.93707,4.76921,14.5345,4217.98,4673.43,326.567,0,,0,0,,0,0,0.934687,,,,,102.337,148.323,150.765,547.966,5000,4217.98,1,
44,100,5000,500,100,150,150,1,0,0,0,,,3.87999,0.420009,0.361899,0.801997,5.25526,0.661441,1.13371,0.254287,12.0737,1.14675,1.22287,0.447341,303.681,9.77775,0.168557,3.22902,5124.5,4704.66,295.344,124.501,,0,0,,0,0,0.940931,,,,,103.88,155.255,162.074,403.681,5000,5124.5,1,
45,100,5000,500,100,150,150,1,0,0,0,,,10.002,0.685658,0.393154,0.859116,0,0,0,0,1.90767,0.434681,1.28157,0.96986,283.673,7.42905,10.7703,3.83091,4905.04,4802.37,197.633,0,,0,0,,0,0,0.960473,,,,,110.002,149.762,151.908,383.673,5000,4905.04,1,
46,100,5000,500,100,150,150,1,0,0,0,,,5.9258,1.02631,0.247717,0.915927,12.4995,0.579907,0.939407,0.714662,1.53795,1.2324,0.44761,0.142509,177.431,7.86215,0.933403,0.177952,5097.95,4719.87,280.126,97.9497,,0,0,,0,0,0.943975,,,,,105.926,162.5,151.538,277.431,5000,5097.95,1,
47,100,5000,500,100,150,150,1,0,0,0,,,7.4845,0.057859,0.246892,1.0734,0.17334,0.195045,0.588131,0.0719253,0,0,0,0,272.925,4.74749,5.77695,8.03926,4819.32,4562.22,437.782,0,,0,0,,0,0,0.912444,,,,,107.485,150.173,149.543,372.925,5000,4819.32,1,
48,150,7500,750,150,225,225,1.5,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,370.363,12.3772,8.38777,11.0147,4842.8,4840.72,159.285,0,,0,0,,1,0,0.968143,,,,,103.564,154.98,158.417,520.363,5000,4842.8,1,
49,150,7500,750,150,225,225,1.5,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,127.505,4.0947,1.86491,1.56195,5211.08,4728.13,271.867,0,,0,0,,1,0,0.945627,,,,,115.942,163.367,169.431,277.505,5000,5211.08,1,
